epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10794.1,0.78072,0.55136,1.59564,0.76896,0.7691,0.81008,0.65803,0.6912,0.47416,1.65115,0.00898525,0.00898525,0.00898525
43,11044.1,0.77868,0.54956,1.60901,0.7649,0.77372,0.81169,0.66017,0.69072,0.47399,1.65135,0.0089605,0.0089605,0.0089605
44,11301.5,0.77863,0.55021,1.59323,0.75384,0.78829,0.81444,0.66346,0.68889,0.47419,1.6487,0.00893575,0.00893575,0.00893575
45,11558.8,0.77805,0.54804,1.59365,0.75939,0.78145,0.8143,0.66398,0.68944,0.47138,1.64776,0.008911,0.008911,0.008911
46,11816.6,0.77692,0.54625,1.59608,0.76254,0.7877,0.81637,0.66498,0.68985,0.47063,1.64611,0.00888625,0.00888625,0.00888625
47,12074.1,0.774,0.54457,1.58965,0.75635,0.78949,0.81592,0.66451,0.68892,0.46861,1.64226,0.0088615,0.0088615,0.0088615
48,12324,0.77417,0.54369,1.59453,0.7624,0.78676,0.8193,0.66749,0.68659,0.46586,1.64412,0.00883675,0.00883675,0.00883675
49,12581.6,0.77364,0.54315,1.5981,0.75811,0.79312,0.81871,0.66752,0.68597,0.46485,1.64528,0.008812,0.008812,0.008812
50,12831.9,0.7741,0.53817,1.59534,0.77517,0.77944,0.82066,0.66999,0.68611,0.4633,1.64584,0.00878725,0.00878725,0.00878725
51,13089.5,0.7707,0.53893,1.594,0.77157,0.78419,0.82063,0.66981,0.68606,0.46414,1.64415,0.0087625,0.0087625,0.0087625
52,13339.6,0.77054,0.54097,1.58977,0.77135,0.78366,0.82223,0.6702,0.68581,0.46337,1.64013,0.00873775,0.00873775,0.00873775
53,13597.3,0.76793,0.53601,1.59369,0.77244,0.78644,0.82338,0.67159,0.6852,0.46275,1.63868,0.008713,0.008713,0.008713
