epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3994.01,0.84678,0.63055,1.6725,0.71638,0.72623,0.74487,0.58246,0.74094,0.53034,1.70512,0.00898525,0.00898525,0.00898525
43,4088.33,0.84389,0.6297,1.67073,0.71599,0.73494,0.74867,0.58743,0.73942,0.52888,1.70506,0.0089605,0.0089605,0.0089605
44,4182.57,0.84208,0.62927,1.66491,0.71727,0.73133,0.75084,0.58943,0.7383,0.52779,1.70555,0.00893575,0.00893575,0.00893575
45,4276.88,0.84196,0.62835,1.66565,0.70969,0.73596,0.75344,0.59194,0.73847,0.52593,1.70375,0.008911,0.008911,0.008911
46,4371.33,0.84168,0.62677,1.66215,0.7179,0.73107,0.75499,0.59488,0.73773,0.52573,1.70221,0.00888625,0.00888625,0.00888625
47,4465.65,0.8417,0.62515,1.66325,0.71333,0.72621,0.75529,0.59547,0.73712,0.5254,1.70323,0.0088615,0.0088615,0.0088615
48,4560.06,0.838,0.62258,1.66294,0.72647,0.72028,0.75855,0.59773,0.73618,0.52351,1.7032,0.00883675,0.00883675,0.00883675
49,4654.18,0.83877,0.62337,1.66588,0.71583,0.73779,0.75792,0.59794,0.73586,0.52132,1.70241,0.008812,0.008812,0.008812
50,4748.75,0.83747,0.61625,1.66093,0.71591,0.73989,0.75901,0.59916,0.73571,0.51959,1.70144,0.00878725,0.00878725,0.00878725
51,4842.86,0.8357,0.61863,1.66255,0.72187,0.74163,0.76137,0.59986,0.73517,0.51885,1.70103,0.0087625,0.0087625,0.0087625
52,4937.01,0.83525,0.61824,1.66217,0.72693,0.74086,0.76147,0.60031,0.73453,0.51849,1.70073,0.00873775,0.00873775,0.00873775
53,5031.06,0.83471,0.61691,1.6593,0.72782,0.74394,0.76247,0.60093,0.73402,0.51737,1.69996,0.008713,0.008713,0.008713
54,5125.37,0.8298,0.60985,1.65696,0.72089,0.74801,0.76381,0.60208,0.73323,0.51642,1.69903,0.00868825,0.00868825,0.00868825
55,5219.57,0.83244,0.61199,1.66019,0.71968,0.75239,0.76592,0.60383,0.73249,0.51603,1.69809,0.0086635,0.0086635,0.0086635
56,5313.72,0.83175,0.61315,1.65896,0.71462,0.7608,0.76848,0.60555,0.73232,0.5151,1.69801,0.00863875,0.00863875,0.00863875
57,5408.01,0.82845,0.6081,1.65092,0.71948,0.75642,0.77032,0.60702,0.73179,0.51431,1.69652,0.008614,0.008614,0.008614
58,5502.16,0.82838,0.60952,1.65305,0.72421,0.75575,0.77207,0.60949,0.73124,0.51309,1.69649,0.00858925,0.00858925,0.00858925
59,5596.35,0.82655,0.6073,1.65238,0.72562,0.7551,0.77319,0.61069,0.73106,0.51283,1.69661,0.0085645,0.0085645,0.0085645
60,5690.39,0.82907,0.60738,1.65299,0.72556,0.75673,0.77418,0.61185,0.73074,0.5124,1.69598,0.00853975,0.00853975,0.00853975
61,5784.73,0.82952,0.60802,1.65497,0.72326,0.75911,0.77509,0.61301,0.73072,0.51157,1.69507,0.008515,0.008515,0.008515
62,5879.09,0.82639,0.60821,1.64932,0.71894,0.76426,0.77582,0.61355,0.73039,0.51109,1.69476,0.00849025,0.00849025,0.00849025
63,5973.48,0.82366,0.60132,1.64615,0.7216,0.76306,0.77635,0.61419,0.7301,0.5106,1.69408,0.0084655,0.0084655,0.0084655
64,6067.47,0.82334,0.60217,1.6531,0.71999,0.76425,0.7773,0.61508,0.72978,0.50987,1.69348,0.00844075,0.00844075,0.00844075
65,6161.91,0.8226,0.60292,1.65046,0.72181,0.76639,0.77797,0.61512,0.72925,0.50957,1.69315,0.008416,0.008416,0.008416
66,6255.93,0.82357,0.60173,1.64835,0.72452,0.76345,0.77877,0.61655,0.72872,0.50917,1.69286,0.00839125,0.00839125,0.00839125
67,6350.33,0.81865,0.59936,1.64657,0.72591,0.76238,0.77916,0.61684,0.72846,0.50865,1.69251,0.0083665,0.0083665,0.0083665
68,6444.6,0.81928,0.59617,1.64507,0.72977,0.75874,0.77935,0.61727,0.72833,0.5082,1.69186,0.00834175,0.00834175,0.00834175
69,6539.08,0.82184,0.59933,1.64656,0.73211,0.75786,0.7796,0.61756,0.72807,0.50782,1.69124,0.008317,0.008317,0.008317
70,6633.36,0.82161,0.59832,1.6448,0.72788,0.76304,0.77944,0.61753,0.72785,0.50772,1.69107,0.00829225,0.00829225,0.00829225
71,6726.55,0.81909,0.59378,1.64674,0.73203,0.76068,0.78,0.61798,0.72756,0.50735,1.69051,0.0082675,0.0082675,0.0082675
72,6820.6,0.81872,0.5938,1.64454,0.73047,0.76404,0.78029,0.61828,0.72744,0.507,1.69035,0.00824275,0.00824275,0.00824275
73,6914.47,0.81486,0.59216,1.65039,0.73178,0.76345,0.78089,0.61904,0.72732,0.50666,1.69006,0.008218,0.008218,0.008218
74,7008.18,0.81761,0.59381,1.64914,0.73308,0.76328,0.78144,0.61972,0.72708,0.50616,1.68971,0.00819325,0.00819325,0.00819325
75,7102.08,0.8143,0.59015,1.64094,0.73387,0.76359,0.78215,0.62028,0.72707,0.5058,1.68912,0.0081685,0.0081685,0.0081685
76,7195.87,0.81596,0.59193,1.64135,0.73363,0.76443,0.78271,0.62073,0.72692,0.50528,1.68863,0.00814375,0.00814375,0.00814375
77,7289.7,0.81307,0.59107,1.64297,0.73227,0.7673,0.78283,0.62124,0.72678,0.50496,1.68829,0.008119,0.008119,0.008119
78,7383.45,0.8124,0.58612,1.64097,0.7348,0.76673,0.7831,0.62147,0.72675,0.50448,1.68772,0.00809425,0.00809425,0.00809425
79,7477.32,0.80919,0.5868,1.63847,0.73523,0.76581,0.78344,0.62179,0.72655,0.50406,1.68727,0.0080695,0.0080695,0.0080695
80,7571.33,0.81101,0.58724,1.63441,0.73602,0.76557,0.78348,0.62175,0.72623,0.50387,1.68716,0.00804475,0.00804475,0.00804475
81,7664.43,0.80834,0.58319,1.6365,0.73716,0.76456,0.78391,0.62187,0.72614,0.50367,1.68686,0.00802,0.00802,0.00802
82,7758.17,0.81008,0.58419,1.63523,0.73845,0.7637,0.78442,0.62232,0.72607,0.5031,1.68647,0.00799525,0.00799525,0.00799525
83,7852.16,0.80904,0.58499,1.63687,0.73848,0.76515,0.78478,0.62259,0.72593,0.50265,1.68627,0.0079705,0.0079705,0.0079705
84,7946.05,0.80759,0.58431,1.62864,0.73983,0.7639,0.78495,0.62295,0.72584,0.50233,1.68582,0.00794575,0.00794575,0.00794575
85,8039.81,0.80571,0.58077,1.63549,0.74098,0.7628,0.78527,0.6235,0.72589,0.50225,1.6854,0.007921,0.007921,0.007921
86,8133.6,0.80459,0.58377,1.63098,0.74056,0.76218,0.78536,0.62351,0.72572,0.50186,1.6851,0.00789625,0.00789625,0.00789625
87,8227.52,0.80605,0.5829,1.63539,0.73951,0.76335,0.78562,0.62381,0.72567,0.50166,1.6848,0.0078715,0.0078715,0.0078715
88,8321.41,0.80409,0.58076,1.63136,0.7386,0.76459,0.78627,0.62439,0.72557,0.5013,1.68454,0.00784675,0.00784675,0.00784675
89,8415.4,0.80622,0.58211,1.62776,0.74164,0.76273,0.78678,0.62465,0.72563,0.50124,1.68427,0.007822,0.007822,0.007822
90,8509.23,0.8016,0.58027,1.63743,0.73796,0.76379,0.78703,0.62511,0.7254,0.50098,1.68391,0.00779725,0.00779725,0.00779725
91,8603.19,0.80252,0.5793,1.63176,0.73781,0.76408,0.78774,0.62606,0.72528,0.50079,1.68345,0.0077725,0.0077725,0.0077725
92,8696.82,0.80306,0.5789,1.62968,0.7403,0.76276,0.78819,0.62625,0.7252,0.50062,1.68304,0.00774775,0.00774775,0.00774775
93,8790.63,0.80471,0.58024,1.63471,0.74192,0.76213,0.78828,0.62595,0.7251,0.50036,1.68272,0.007723,0.007723,0.007723
94,8883.53,0.79621,0.5704,1.63048,0.74127,0.76256,0.78855,0.62615,0.72521,0.50017,1.68217,0.00769825,0.00769825,0.00769825
95,8976.52,0.80166,0.5775,1.63133,0.74054,0.76272,0.78876,0.62643,0.72522,0.5001,1.6818,0.0076735,0.0076735,0.0076735
96,9070.56,0.80105,0.57619,1.62745,0.73968,0.7641,0.78881,0.62641,0.72538,0.4998,1.68141,0.00764875,0.00764875,0.00764875
97,9163.57,0.80059,0.57691,1.63111,0.74066,0.76355,0.78923,0.62678,0.72551,0.49963,1.68098,0.007624,0.007624,0.007624
98,9257.66,0.79897,0.57506,1.62698,0.74134,0.76441,0.78951,0.62731,0.72538,0.49981,1.6809,0.00759925,0.00759925,0.00759925
